seed=0l; %0=95.000000; %1=90.250000; %2=85.737503
iteration,% infected sim 0,% infected sim 1,% infected sim 2
547,0.135000,0.256000,0.742000
548,0.136000,0.257000,0.745000
549,0.136000,0.258000,0.748000
550,0.137000,0.262000,0.749000
551,0.137000,0.265000,0.749000
552,0.137000,0.267000,0.749000
553,0.139000,0.268000,0.750000
554,0.140000,0.269000,0.753000
555,0.140000,0.269000,0.755000
556,0.140000,0.270000,0.757000
557,0.140000,0.272000,0.762000
558,0.140000,0.273000,0.762000
559,0.140000,0.274000,0.762000
560,0.140000,0.274000,0.764000
561,0.141000,0.276000,0.764000
562,0.141000,0.280000,0.767000
563,0.143000,0.280000,0.768000
564,0.143000,0.281000,0.768000
565,0.143000,0.282000,0.769000
566,0.143000,0.284000,0.770000
567,0.143000,0.285000,0.770000
568,0.143000,0.286000,0.771000
569,0.143000,0.289000,0.772000
570,0.144000,0.290000,0.772000
571,0.144000,0.290000,0.774000
572,0.146000,0.295000,0.774000
573,0.147000,0.298000,0.778000
574,0.147000,0.298000,0.778000
575,0.148000,0.299000,0.778000
576,0.148000,0.300000,0.780000
577,0.148000,0.300000,0.780000
578,0.149000,0.303000,0.780000
579,0.149000,0.304000,0.783000
580,0.149000,0.307000,0.783000
581,0.149000,0.312000,0.784000
582,0.149000,0.318000,0.785000
583,0.150000,0.321000,0.786000
584,0.151000,0.324000,0.787000
585,0.151000,0.324000,0.787000
586,0.152000,0.324000,0.787000
587,0.152000,0.325000,0.788000
588,0.153000,0.326000,0.788000
589,0.153000,0.327000,0.789000
590,0.153000,0.328000,0.790000
591,0.154000,0.331000,0.792000
592,0.154000,0.335000,0.793000
593,0.154000,0.336000,0.797000
594,0.155000,0.336000,0.800000
595,0.155000,0.337000,0.803000
596,0.155000,0.338000,0.803000
597,0.155000,0.340000,0.804000
598,0.156000,0.340000,0.804000
599,0.157000,0.341000,0.808000
600,0.158000,0.342000,0.811000
601,0.159000,0.343000,0.813000
602,0.164000,0.344000,0.813000
603,0.165000,0.347000,0.813000
604,0.168000,0.347000,0.813000
605,0.170000,0.348000,0.815000
606,0.171000,0.350000,0.816000
607,0.171000,0.352000,0.816000
608,0.172000,0.354000,0.817000
609,0.174000,0.354000,0.818000
610,0.175000,0.355000,0.820000
611,0.176000,0.355000,0.821000
612,0.177000,0.357000,0.821000
613,0.177000,0.359000,0.822000
614,0.178000,0.360000,0.824000
615,0.178000,0.363000,0.825000
